(188, 377)
(110, 140)
(133, 325)
(295, 153)
(7, 43)
(631, 263)
(396, 331)
(543, 182)
(184, 327)
(165, 18)
(76, 357)
(528, 238)
(204, 176)
(473, 343)
(238, 159)
(370, 31)
(18, 198)
(286, 219)
(695, 92)
(184, 337)
(680, 404)
(589, 290)
(165, 209)
(657, 209)
(85, 35)
(206, 285)
(603, 10)
(307, 104)
(30, 439)
(534, 284)
(527, 378)
(434, 43)
(487, 28)
(90, 421)
(119, 153)
(459, 182)
(446, 6)
(534, 78)
(563, 392)
(585, 139)
(668, 225)
(602, 11)
(458, 215)
(485, 137)
(31, 385)
(678, 208)
(286, 390)
(24, 50)
(5, 420)
(287, 356)
(298, 241)
(285, 260)
(357, 237)
(413, 168)
(395, 339)
(454, 182)
(154, 112)
(64, 453)
(346, 161)
(279, 140)
(366, 91)
(400, 313)
(654, 5)
(485, 107)
(500, 299)
(366, 434)
(655, 347)
(211, 326)
(331, 73)
(286, 320)
