(6, 369)
(671, 420)
(165, 409)
(640, 464)
(530, 250)
(247, 450)
(416, 360)
(335, 25)
(114, 20)
(174, 373)
(585, 226)
(534, 329)
(687, 406)
(413, 121)
(269, 358)
(401, 303)
(248, 160)
(150, 291)
(542, 8)
(38, 90)
(54, 63)
(179, 240)
(620, 326)
(167, 396)
(410, 29)
(227, 126)
(438, 133)
(693, 348)
(455, 164)
(491, 212)
(663, 403)
(352, 93)
(100, 125)
(252, 449)
(492, 294)
(622, 7)
(688, 188)
(335, 438)
(258, 81)
(523, 2)
(152, 115)
(607, 328)
(410, 140)
(10, 67)
(209, 173)
(537, 450)
(337, 18)
(142, 73)
(296, 187)
(258, 425)
(237, 401)
(66, 132)
(366, 239)
(578, 374)
(281, 466)
(436, 2)
(5, 416)
(234, 49)
(238, 268)
(175, 1)
(227, 57)
(630, 437)
(507, 151)
(326, 5)
(577, 381)
(39, 48)
(347, 169)
(487, 466)
(43, 26)
(45, 355)
(295, 417)
(458, 331)
(633, 4)
(600, 71)
(635, 227)
(139, 408)
(58, 162)
(530, 186)
(389, 158)
(603, 406)
(358, 172)
(9, 292)
(270, 273)
(300, 318)
(629, 139)
(328, 115)
(589, 159)
(561, 142)
(259, 101)
(122, 235)
(149, 147)
(75, 392)
(466, 205)
(90, 27)
(162, 37)
(43, 381)
(22, 408)
(333, 101)
(447, 382)
(697, 296)
(264, 161)
(409, 158)
(330, 191)
(647, 53)
(199, 20)
(392, 146)
(213, 61)
(662, 151)
(559, 426)
(344, 24)
(344, 11)
(479, 186)
(665, 261)
(54, 417)
(670, 449)
(215, 166)
(574, 259)
(275, 224)
(84, 461)
(242, 434)
(591, 108)
(87, 306)
(87, 199)
(596, 380)
(362, 147)
(611, 41)
(401, 399)
(110, 396)
(359, 423)
(69, 137)
(126, 258)
(356, 48)
(346, 72)
(313, 104)
(615, 280)
(568, 413)
(460, 395)
(56, 324)
(548, 62)
(202, 171)
(304, 304)
(548, 384)
(22, 187)
(675, 60)
(258, 236)
(107, 429)
(527, 37)
(376, 195)
(7, 242)
(134, 464)
(334, 280)
(281, 121)
(36, 359)
(508, 159)
(509, 147)
(224, 185)
(295, 388)
(591, 379)
(10, 225)
(84, 382)
(517, 25)
(156, 74)
(216, 158)
(636, 262)
(582, 357)
(143, 377)
(97, 280)
(35, 218)
(651, 254)
(293, 253)
(455, 132)
(88, 61)
(614, 123)
(504, 400)
(91, 79)
(313, 366)
(495, 48)
(69, 27)
(523, 17)
(446, 96)
(109, 222)
(421, 132)
(429, 65)
(198, 444)
(523, 452)
(377, 25)
(647, 350)
(25, 457)
(74, 450)
(581, 42)
(57, 78)
(300, 134)
(49, 451)
(246, 33)
(271, 82)
(75, 443)
(312, 48)
(411, 446)
(371, 382)
(109, 86)
(201, 309)
(635, 309)
(208, 3)
(122, 230)
(104, 94)
(162, 212)
(506, 111)
(578, 51)
(62, 193)
(93, 347)
(435, 325)
(142, 451)
(230, 81)
(236, 310)
(127, 442)
(468, 155)
(636, 198)
(180, 302)
(168, 415)
(497, 196)
(390, 225)
(683, 63)
(125, 329)
(475, 291)
(502, 439)
(264, 361)
(512, 426)
(550, 23)
(58, 84)
(38, 405)
(609, 279)
(159, 292)
(312, 234)
(353, 327)
(623, 453)
(156, 140)
(19, 397)
(405, 360)
(353, 414)
(365, 190)
(70, 377)
(230, 179)
(215, 454)
(366, 57)
(320, 19)
(323, 299)
(120, 39)
(31, 130)
